bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,parent_id,is_weak,effective_bucket_id,fallback_from_children
L1_age=<=30|L2_job=blue_collar|L3_contact=unknown,3,895,0,895,L1_age=<=30|L2_job=blue_collar,True,L1_age=<=30|L2_job=blue_collar,0
L1_age=<=30|L2_job=no_income|L3_contact=cellular,3,733,0,733,L1_age=<=30|L2_job=no_income,True,L1_age=<=30|L2_job=no_income,0
L1_age=<=30|L2_job=no_income,2,0,733,0,L1_age=<=30,False,L1_age=<=30|L2_job=no_income,733
L1_age=<=30|L2_job=no_income|L3_contact=telephone,3,95,95,0,L1_age=<=30|L2_job=no_income,False,L1_age=<=30|L2_job=no_income|L3_contact=telephone,0
L1_age=<=30|L2_job=no_income|L3_contact=unknown,3,144,144,0,L1_age=<=30|L2_job=no_income,False,L1_age=<=30|L2_job=no_income|L3_contact=unknown,0
L1_age=<=30|L2_job=others,2,23,0,23,L1_age=<=30,True,ROOT,0
L1_age=<=30|L2_job=self_emp|L3_contact=cellular,3,283,0,283,L1_age=<=30|L2_job=self_emp,True,L1_age=<=30|L2_job=self_emp,0
L1_age=<=30|L2_job=self_emp,2,0,291,0,L1_age=<=30,False,L1_age=<=30|L2_job=self_emp,291
L1_age=<=30|L2_job=self_emp|L3_contact=others,3,8,0,8,L1_age=<=30|L2_job=self_emp,True,L1_age=<=30|L2_job=self_emp,0
L1_age=<=30|L2_job=self_emp|L3_contact=unknown,3,92,92,0,L1_age=<=30|L2_job=self_emp,False,L1_age=<=30|L2_job=self_emp|L3_contact=unknown,0
L1_age=<=30|L2_job=white_collar|L3_contact=cellular,3,2434,0,2434,L1_age=<=30|L2_job=white_collar,True,ROOT,0
L1_age=<=30|L2_job=white_collar|L3_contact=telephone,3,97,97,0,L1_age=<=30|L2_job=white_collar,False,L1_age=<=30|L2_job=white_collar|L3_contact=telephone,0
L1_age=<=30|L2_job=white_collar|L3_contact=unknown,3,794,0,794,L1_age=<=30|L2_job=white_collar,True,ROOT,0
L1_age=>60|L2_job=blue_collar|L3_contact=cellular,3,51,0,51,L1_age=>60|L2_job=blue_collar,True,ROOT,0
L1_age=>60|L2_job=blue_collar|L3_contact=others,3,33,0,33,L1_age=>60|L2_job=blue_collar,True,ROOT,0
L1_age=>60|L2_job=others,2,32,0,32,L1_age=>60,True,ROOT,0
L1_age=>60|L2_job=retired|L3_contact=cellular,3,583,583,0,L1_age=>60|L2_job=retired,False,L1_age=>60|L2_job=retired|L3_contact=cellular,0
L1_age=>60|L2_job=retired|L3_contact=others,3,11,0,11,L1_age=>60|L2_job=retired,True,ROOT,0
L1_age=>60|L2_job=retired|L3_contact=telephone,3,281,281,0,L1_age=>60|L2_job=retired,False,L1_age=>60|L2_job=retired|L3_contact=telephone,0
L1_age=>60|L2_job=self_emp,2,37,0,37,L1_age=>60,True,ROOT,0
L1_age=>60|L2_job=white_collar|L3_contact=cellular,3,131,0,131,L1_age=>60|L2_job=white_collar,True,L1_age=>60|L2_job=white_collar,0
L1_age=>60|L2_job=white_collar,2,0,160,0,L1_age=>60,False,L1_age=>60|L2_job=white_collar,160
L1_age=>60|L2_job=white_collar|L3_contact=others,3,29,0,29,L1_age=>60|L2_job=white_collar,True,L1_age=>60|L2_job=white_collar,0
