bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,fallback_from_children,parent_id,is_weak,effective_bucket_id
L1_age=<=30|L2_job=blue_collar|L3_contact=telephone,3,96,96,0,0,L1_age=<=30|L2_job=blue_collar,False,L1_age=<=30|L2_job=blue_collar|L3_contact=telephone
L1_age=<=30|L2_job=blue_collar|L3_contact=unknown,3,895,895,0,0,L1_age=<=30|L2_job=blue_collar,False,L1_age=<=30|L2_job=blue_collar|L3_contact=unknown
L1_age=<=30|L2_job=no_income|L3_contact=cellular,3,733,733,0,0,L1_age=<=30|L2_job=no_income,False,L1_age=<=30|L2_job=no_income|L3_contact=cellular
L1_age=<=30|L2_job=no_income|L3_contact=telephone,3,95,95,0,0,L1_age=<=30|L2_job=no_income,False,L1_age=<=30|L2_job=no_income|L3_contact=telephone
L1_age=<=30|L2_job=no_income|L3_contact=unknown,3,144,144,0,0,L1_age=<=30|L2_job=no_income,False,L1_age=<=30|L2_job=no_income|L3_contact=unknown
L1_age=<=30|L2_job=others,2,23,23,0,0,L1_age=<=30,False,L1_age=<=30|L2_job=others
L1_age=<=30|L2_job=self_emp|L3_contact=cellular,3,283,283,0,0,L1_age=<=30|L2_job=self_emp,False,L1_age=<=30|L2_job=self_emp|L3_contact=cellular
L1_age=<=30|L2_job=self_emp|L3_contact=others,3,8,8,0,0,L1_age=<=30|L2_job=self_emp,False,L1_age=<=30|L2_job=self_emp|L3_contact=others
L1_age=<=30|L2_job=self_emp|L3_contact=unknown,3,92,92,0,0,L1_age=<=30|L2_job=self_emp,False,L1_age=<=30|L2_job=self_emp|L3_contact=unknown
L1_age=<=30|L2_job=white_collar|L3_contact=cellular,3,2434,2434,0,0,L1_age=<=30|L2_job=white_collar,False,L1_age=<=30|L2_job=white_collar|L3_contact=cellular
L1_age=<=30|L2_job=white_collar|L3_contact=telephone,3,97,97,0,0,L1_age=<=30|L2_job=white_collar,False,L1_age=<=30|L2_job=white_collar|L3_contact=telephone
L1_age=<=30|L2_job=white_collar|L3_contact=unknown,3,794,794,0,0,L1_age=<=30|L2_job=white_collar,False,L1_age=<=30|L2_job=white_collar|L3_contact=unknown
L1_age=>60|L2_job=blue_collar|L3_contact=cellular,3,51,51,0,0,L1_age=>60|L2_job=blue_collar,False,L1_age=>60|L2_job=blue_collar|L3_contact=cellular
L1_age=>60|L2_job=blue_collar|L3_contact=others,3,33,33,0,0,L1_age=>60|L2_job=blue_collar,False,L1_age=>60|L2_job=blue_collar|L3_contact=others
L1_age=>60|L2_job=others,2,32,32,0,0,L1_age=>60,False,L1_age=>60|L2_job=others
L1_age=>60|L2_job=retired|L3_contact=cellular,3,583,583,0,0,L1_age=>60|L2_job=retired,False,L1_age=>60|L2_job=retired|L3_contact=cellular
L1_age=>60|L2_job=retired|L3_contact=others,3,11,11,0,0,L1_age=>60|L2_job=retired,False,L1_age=>60|L2_job=retired|L3_contact=others
L1_age=>60|L2_job=retired|L3_contact=telephone,3,281,281,0,0,L1_age=>60|L2_job=retired,False,L1_age=>60|L2_job=retired|L3_contact=telephone
L1_age=>60|L2_job=self_emp,2,37,37,0,0,L1_age=>60,False,L1_age=>60|L2_job=self_emp
L1_age=>60|L2_job=white_collar|L3_contact=cellular,3,131,131,0,0,L1_age=>60|L2_job=white_collar,False,L1_age=>60|L2_job=white_collar|L3_contact=cellular
L1_age=>60|L2_job=white_collar|L3_contact=others,3,29,29,0,0,L1_age=>60|L2_job=white_collar,False,L1_age=>60|L2_job=white_collar|L3_contact=others
